filename,species,common 
Anurogryllus_arboreus_conflict.mp3,Anurogryllus arboreus,common short-tailed cricket 
Gryllus_rubens.mp3,Gryllus rubens,southeastern field cricket 
Neocurtilla_hexadactyla.mp3,Neocurtilla hexadactyla,northern mole cricket
Neoscapteriscus_borellii.mp3,Neoscapteriscus borellii,southern mole cricket
